시군구,번지,단지명,전용면적,거래금액
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"115,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"145,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,84.94,"140,700"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"117,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"119,500"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"131,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,59.97,"123,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"159,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"137,000"
서울특별시 마포구 공덕동,478,공덕더샵,84.96,"166,500"
서울특별시 마포구 공덕동,476,공덕파크자이,83.8002,"158,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"125,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"121,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"122,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"124,700"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"154,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,113.866,"177,500"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.975,"138,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.968,"140,000"
서울특별시 마포구 공덕동,467,롯데캐슬프레지던트,191.532,"208,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.34,"91,000"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"125,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"96,000"
서울특별시 마포구 공덕동,460,한화꿈에그린,84.939,"130,000"
서울특별시 마포구 공덕동,11-168,효창그린빌라트,217.55,"115,000"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"28,200"
서울특별시 마포구 대흥동,802,대흥동세양,60,"94,500"
서울특별시 마포구 대흥동,802,대흥동세양,84.6,"120,000"
서울특별시 마포구 대흥동,802,대흥동세양,60,"94,000"
서울특별시 마포구 대흥동,803,동양엔파트,84.893,"133,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.95,"170,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.44,"173,000"
서울특별시 마포구 대흥동,660,마포태영,114.93,"164,000"
서울특별시 마포구 대흥동,660,마포태영,114.93,"149,800"
서울특별시 마포구 대흥동,660,마포태영,59.4,"122,500"
서울특별시 마포구 대흥동,660,마포태영,84.77,"150,000"
서울특별시 마포구 대흥동,660,마포태영,114.93,"147,000"
서울특별시 마포구 대흥동,660,마포태영,84.77,"135,800"
서울특별시 마포구 대흥동,12-41,서희스타힐스,12.88,"18,500"
서울특별시 마포구 대흥동,806,신촌그랑자이(1단지),59.96,"157,000"
서울특별시 마포구 대흥동,807,신촌그랑자이(2단지),84.98,"182,000"
서울특별시 마포구 도화동,357,도화동현대,128.26,"138,000"
서울특별시 마포구 도화동,357,도화동현대,128.26,"139,000"
서울특별시 마포구 도화동,357,도화동현대,54.72,"91,500"
서울특별시 마포구 도화동,357,도화동현대,128.26,"137,000"
서울특별시 마포구 도화동,357,도화동현대,68.22,"107,800"
서울특별시 마포구 도화동,357,도화동현대,128.26,"148,000"
서울특별시 마포구 도화동,547,도화현대,59.4,"96,500"
서울특별시 마포구 도화동,564,마포동원베네스트,58.65,"103,700"
